time,d,rssi
1650977484.0,9.0,79.0
1650977486.0,6.0,80.0
1650977486.0,1.0,57.0
1650977486.0,9.0,77.0
1650977487.0,1.0,54.0
1650977487.0,3.0,63.0
1650977488.0,6.0,79.0
1650977488.0,9.0,78.0
1650977489.0,6.0,77.0
1650977489.0,3.0,65.0
1650977490.0,3.0,66.0
1650977490.0,9.0,80.0
1650977491.0,1.0,57.0
1650977492.0,1.0,56.0
1650977492.0,9.0,79.0
1650977492.0,6.0,80.0
1650977492.0,3.0,69.0
1650977493.0,3.0,70.0
1650977495.0,6.0,76.0
1650977495.0,1.0,57.0
1650977495.0,3.0,63.0
1650977495.0,9.0,81.0
1650977495.0,9.0,85.0
1650977496.0,6.0,83.0
1650977496.0,1.0,67.0
1650977498.0,6.0,81.0
1650977498.0,3.0,71.0
1650977498.0,9.0,85.0
1650977499.0,6.0,86.0
1650977499.0,1.0,67.0
1650977499.0,3.0,71.0
1650977501.0,6.0,80.0
1650977501.0,1.0,61.0
1650977501.0,3.0,64.0
1650977501.0,9.0,72.0
1650977502.0,1.0,67.0
1650977515.0,3.0,65.0
1650977516.0,9.0,81.0
1650977517.0,6.0,76.0
1650977517.0,3.0,63.0
1650977518.0,3.0,64.0
1650977519.0,1.0,55.0
1650977520.0,6.0,69.0
1650977520.0,3.0,63.0
1650977521.0,1.0,60.0
1650977521.0,9.0,83.0
1650977522.0,9.0,88.0
1650977523.0,6.0,85.0
1650977523.0,1.0,55.0
1650977523.0,3.0,64.0
1650977524.0,3.0,68.0
1650977524.0,9.0,94.0
1650977525.0,1.0,63.0
1650977525.0,6.0,85.0
1650977525.0,1.0,63.0
1650977525.0,3.0,64.0
1650977526.0,9.0,88.0
1650977527.0,6.0,83.0
1650977527.0,3.0,64.0
1650977527.0,9.0,81.0
1650977527.0,1.0,57.0
1650977529.0,6.0,79.0
1650977529.0,9.0,85.0
1650977530.0,6.0,79.0
1650977530.0,1.0,58.0
1650977530.0,9.0,82.0
1650977531.0,6.0,71.0
1650977531.0,3.0,63.0
1650977532.0,1.0,54.0
1650977532.0,3.0,63.0
1650977532.0,9.0,82.0
1650977533.0,9.0,87.0
1650977533.0,6.0,71.0
1650977533.0,1.0,55.0
1650977534.0,6.0,72.0
1650977534.0,3.0,70.0
1650977535.0,9.0,87.0
1650977536.0,1.0,63.0
1650977537.0,6.0,85.0
