date,minor,accuracy,rssi
2022-04-26 21:13:50,13,546.5037808,-76
2022-04-26 21:13:50,19005,28.01117503,-83
2022-04-26 21:13:50,14,1662.669848,-85
2022-04-26 21:13:51,19003,55.53579998,-89
2022-04-26 21:13:51,12,85.01840418,-63
2022-04-26 21:13:51,11,61.83033782,-61
2022-04-26 21:13:51,19003,24.89178377,-82
2022-04-26 21:13:51,14,1867.752525,-86
2022-04-26 21:13:52,12,85.01840418,-63
2022-04-26 21:13:53,13,3276.481368,-91
2022-04-26 21:13:53,19003,22.09483195,-81
2022-04-26 21:13:53,19001,44.40913628,-87
2022-04-26 21:13:53,11,241.4693982,-70
2022-04-26 21:13:53,19003,35.35052989,-85
2022-04-26 21:13:53,12,277.9791399,-71
2022-04-26 21:13:53,14,3276.481368,-91
2022-04-26 21:13:54,19003,61.99992698,-90
2022-04-26 21:13:55,13,1312.133233,-83
2022-04-26 21:13:55,11,37.65650266,-58
2022-04-26 21:13:55,19003,35.35052989,-85
2022-04-26 21:13:55,14,802.984996,-79
2022-04-26 21:13:56,13,909.9450111,-80
2022-04-26 21:13:56,19003,35.35052989,-85
2022-04-26 21:13:56,12,134.7243948,-66
2022-04-26 21:13:57,11,22.42786574,-55
2022-04-26 21:13:57,12,181.1177218,-68
2022-04-26 21:13:57,14,622.3199556,-77
2022-04-26 21:13:58,13,1662.669848,-85
2022-04-26 21:13:58,19004,44.40913628,-87
2022-04-26 21:13:58,14,1029.561411,-81
2022-04-26 21:13:59,11,22.42786574,-55
2022-04-26 21:13:59,12,99.34391784,-64
2022-04-26 21:14:00,13,241.4693982,-70
2022-04-26 21:14:00,12,115.8186631,-65
2022-04-26 21:14:00,14,909.9450111,-80
2022-04-26 21:14:01,13,277.9791399,-71
2022-04-26 21:14:01,19004,105.7709347,-95
2022-04-26 21:14:01,12,241.4693982,-70
2022-04-26 21:14:02,11,99.34391784,-64
2022-04-26 21:14:03,13,1662.669848,-85
2022-04-26 21:14:03,19003,28.01117503,-83
2022-04-26 21:14:03,12,115.8186631,-65
2022-04-26 21:14:03,14,2935.477827,-90
2022-04-26 21:14:04,13,3276.481368,-91
2022-04-26 21:14:04,11,134.7243948,-66
2022-04-26 21:14:04,12,115.8186631,-65
2022-04-26 21:14:05,19003,24.89178377,-82
2022-04-26 21:14:05,13,3652.715358,-92
2022-04-26 21:14:05,19003,28.01117503,-83
2022-04-26 21:14:05,12,319.3918229,-72
2022-04-26 21:14:05,14,1662.669848,-85
2022-04-26 21:14:06,19005,44.40913628,-87
2022-04-26 21:14:07,19003,28.01117503,-83
2022-04-26 21:14:07,19003,31.48560776,-84
2022-04-26 21:14:07,12,134.7243948,-66
2022-04-26 21:14:08,11,37.65650266,-58
2022-04-26 21:14:08,14,2347.53582,-88
2022-04-26 21:14:09,13,1029.561411,-81
2022-04-26 21:14:09,19003,95.25772824,-94
2022-04-26 21:14:10,11,22.42786574,-55
2022-04-26 21:14:10,12,72.58934229,-62
2022-04-26 21:14:10,14,622.3199556,-77
